Symbol,baseMean,log2FoldChange,padj
Crnkl1,432.0229432,0.021255854,0.912003928
Rin2,1496.645236,0.02638008,0.867043976
Folh1,289.0539631,-0.811089612,0.001065641
Chordc1,942.8816457,-0.364112193,0.025949608
Rtcb,1934.481266,-0.080710304,0.534138185
Pwp1,453.5152064,0.101052602,0.653896851
Fbxo7,439.1126125,-0.00086882,0.999283571
Capns1,7358.767825,-0.134372536,0.383967188
Lrp3,3532.56537,-0.347500121,0.108517779
Dsg4,67.05258672,-1.333761353,0.827302651
Hoxd13,0.071137779,-0.315163641,
Folr1,1.139258843,0.523714333,
Clpb,1300.7876,0.053687107,0.794892402
Septin7,2623.785903,-0.144939961,0.355339294
Zdhhc4,1004.30457,0.164672179,0.093915248
Rac1,7397.388088,-0.032081572,0.772875547
Nup214,1197.249751,-0.023825026,0.897974388
Aif1l,299.6056534,-0.282257952,0.630834395
Cpa3,332.6041605,0.022127959,0.978029876
Ltbp1,1377.064391,0.058191445,0.821782708
Ugp2,3572.198332,0.456889947,0.299935929
Kcnh6,0.449148868,-0.047138927,
Trmt1,848.3667275,0.034299771,0.809324103
Nacc1,2209.601187,-0.058007015,0.740448672
Nfix,9797.36876,0.076567234,0.703924209
Slc1a5,61143.38856,-0.207824575,0.377126388
Uba1,6698.89227,-0.102515689,0.574928804
Vwf,2256.64958,0.024337536,0.964750124
Siae,953.7826071,-0.104815114,0.159716897
Vsig2,157.1104877,0.029119043,0.961291402
Esam,1207.946225,-0.018300665,0.954221632
Spa17,53.18869134,0.024041217,0.957501786
Fam50a,619.3326812,0.006681446,0.976913628
Emd,745.8755593,0.078906622,0.670877899
Taco1,296.1332451,0.158539893,0.66657346
Grik3,17.78905998,-0.520386741,
Gria3,145.5108956,-0.061657356,0.938139717
Npas1,4.70173402,0.566679591,
Sipa1l2,735.9571895,-0.228768565,0.184932966
Ap4e1,267.4047715,0.094583248,0.715846643
Blvra,472.4006696,0.160104466,0.426766229
Pdzd4,92.61934725,-0.251303291,0.265818784
Srpk3,87.54721408,2.461333028,0.088887508
Idh3g,4742.382623,0.235373547,0.194798273
Pnck,24.45243071,0.821231777,0.240251042
Ssr4,1214.408323,0.056309888,0.78071587
Bcap31,5181.81448,-0.048421964,0.892743969
Fam98a,688.8818513,-0.09518221,0.616342119
Ltbp2,1175.39866,-0.320990802,0.430066063
Kmt2a,1857.623265,0.126320993,0.482265567
Ift46,977.9167034,0.000745638,0.999283571
Tmem25,32.17527404,0.646952252,0.451315976
Cd3g,12.76807815,0.252020164,
Trappc6a,384.5007591,-0.014474834,0.963379024
Supt6,2812.400989,-0.024751459,0.811786033
Spag5,22.2196272,-0.011954482,0.994419861
Foxn1,48.92287411,-0.963319823,0.876005839
Unc119,643.6913555,-0.117415358,0.875447353
Rab34,2374.365625,-0.05879156,0.802189912
Sdf2,640.9998134,-0.008545,0.968377431
Ccne1,67.46610826,0.117658616,0.842102895
Hsf2bp,4.538629788,1.171823433,
Bbc3,334.7552869,-0.208544326,0.730041425
Mybpc3,1.138369546,0.11354098,
Psmc3,2354.362669,0.13046652,0.535488928
Acp2,1797.78625,-0.134288569,0.079532985
Rapsn,54.03550096,1.903350861,0.12266701
Slc39a13,1213.412472,-0.128905727,0.303041399
Celf2,6255.864814,0.089875496,0.678916795
Nr1h3,2534.748205,-0.172576541,0.460683386
Ddb2,630.6113732,0.016505471,0.930812587
Spi1,428.8892952,0.09022206,0.847162949
Sf3a1,1019.669328,-0.219384708,0.051557896
Stat6,2967.781347,-0.24000526,0.068645706
Clgn,0.821013209,-0.890561152,
Napsa,55.89060872,0.097550535,0.886459241
Vrk3,432.8264947,0.13745803,0.304384847
Smg9,368.1767238,0.180614743,0.295778948
Paxip1,580.8511099,0.19622333,0.065388813
Rmnd5a,2459.699217,0.191364087,0.355925237
Mov10,755.2285574,-0.140453257,0.562522783
Ppm1j,79.4409279,2.118509475,0.058749514
Rhoc,2079.734062,0.034965306,0.9113022
Tead3,353.9515324,0.205883348,0.391120008
Ppard,1299.377899,-0.140282545,0.272302845
Def6,111.3100495,-0.047068274,0.943350716
Peg3,3356.966328,0.021398443,0.987811179
Zim1,155.3214684,0.351761833,0.726207252
Metrn,327.9828445,0.215289455,0.601624555
Lmf1,644.2617412,-0.002802053,0.992171521
Ciao3,582.9685614,0.136575964,0.372236634
Angptl4,6150.51345,-0.097911503,0.886080595
Dbf4,58.40787503,0.004239079,0.996189511
Daxx,1115.764498,-0.059366862,0.776425567
Cd320,765.4553257,-0.179288738,0.654470936
Ipo4,1662.601482,-0.023130901,0.89148856
Tm9sf1,1278.549562,0.007955901,0.966255518
Rec8,6.77646858,0.324345867,
Irf9,850.7243471,-0.326303305,0.022933199
Gmpr2,485.1586697,-0.11095451,0.33809849
Mdp1,545.8861063,-0.092385729,0.398795282
Dhrs1,996.0272872,-0.031866161,0.860564417
Ncan,29.37043752,-0.249793235,0.871816512
Tmem161a,910.8877154,0.214053934,0.293478622
Armc6,202.2288491,-0.1888726,0.314690278
Borcs8,592.365147,-0.14454539,0.314353313
Slc25a42,840.7065988,0.19234214,0.2209273
Snx9,2367.004575,0.007413577,0.963297889
Ranbp3,1264.567817,0.192494053,0.008498732
Ndufa11,1607.10203,0.300135145,0.314506037
Bmp8b,110.3634193,-0.006266466,0.989299849
Nr2f6,1095.201523,0.20483946,0.084142035
Use1,1187.299102,0.086238629,0.547859991
Ocel1,1014.115485,0.066403587,0.659167826
Dyrk1b,992.0997625,0.401269319,0.145856639
Braf,1067.002901,0.067396023,0.731704167
Ndufb2,618.7921884,0.185320463,0.569560012
Hltf,508.3243305,-0.312652388,0.001985655
Prpf6,1535.332134,-0.088074208,0.449741236
Rgs19,539.3465811,-0.110167509,0.541955805
Rgs20,4.552884792,-0.166639101,
Abhd3,232.2038232,0.012973021,0.981324596
Snrpd1,274.2217574,-0.0509195,0.871774558
Tchp,224.2001724,-0.154781968,0.38694791
Tiam1,461.3305749,-0.451839867,0.006231538
Tsc2,3485.682023,-0.024120607,0.89896743
Rpl3l,673.1348742,3.077302049,0.128267808
Slc9a3r2,1304.29951,-0.213477369,0.354890816
Puf60,1936.964749,-0.105798067,0.126603997
Golga2,2363.235752,0.100143137,0.35260806
Uck1,2442.274448,0.09441576,0.681695084
Scin,22.86542496,0.848010346,0.248895581
Ikzf4,27.31027667,0.281435871,0.670562609
Mien1,707.4300827,-0.090395133,0.651092584
Pon1,254.2165823,-0.18230821,0.825452514
Axl,4688.012191,0.03755545,0.938139717
Tgfb1,1262.928445,-0.123166406,0.670562609
Ccdc97,1021.826342,0.047654946,0.777408793
Zfp40,172.4526431,-0.20561553,0.195314858
Akap8l,1405.926,-0.056491447,0.811751197
Shh,4.287581556,0.516740873,
Pdcd2l,207.4889851,0.195222031,0.352116354
Gtf2f1,728.75408,-0.138780857,0.234661998
Clpp,1164.636131,0.107591121,0.312060992
Alkbh7,170.638281,0.189813356,0.405844421
Pspn,3.507541922,-0.421188062,
Dennd1c,193.0299839,-0.008410761,0.988485475
Med6,214.582988,-0.180996148,0.258771361
Prkd1,1342.757715,-0.356667331,0.06219476
Lcp2,154.101505,-0.162137374,0.730421442
Cse1l,1257.10083,0.114146275,0.740448672
Naa20,675.2611572,0.098534988,0.612821613
Prkra,478.6986061,-0.042652033,0.878706504
Fkbp7,548.6036726,-0.286899935,0.051894009
Plekha3,1041.788458,-0.117786969,0.314353313
Ykt6,1787.215226,-0.042563626,0.863209825
Baz1b,3884.679667,-0.220887658,0.015403708
Pex6,1869.415841,-0.142403941,0.481911769
Mrpl2,804.356983,0.134407117,0.522598205
Mea1,1154.014802,-0.079633476,0.713085236
Gnmt,15.52428942,0.377798197,
Grin2d,75.03830401,0.077121889,0.886940355
Kdelr1,3392.788852,-0.088421321,0.697755793
Tmem143,1528.652975,0.056424518,0.835918066
Pdxk-ps,0.308135152,0.9214309,
Ggct,120.0650784,-0.173626408,0.652659827
Jag2,484.9578363,0.072804563,0.890615023
Btbd6,374.7230327,0.310796783,0.003505889
Nudt14,115.548946,-0.02074691,0.958415216
Epdr1,423.3717362,0.996933113,0.106577263
Flii,3393.940594,-0.027156534,0.853864192
Top3a,260.1730539,0.192315131,0.367249839
Atg4d,946.892132,0.089609758,0.529687607
Qtrt1,128.195132,0.095839656,0.709104292
Plin4,78001.56216,-0.22883098,0.18607101
Hdgfl2,1711.942113,-0.111178299,0.604274653
Chaf1a,1238.4493,0.19021185,0.071578805
Adprh,899.7147592,-0.083082278,0.63231675
Tmem39a,535.5354271,-0.054075895,0.662145386
Timmdc1,401.4763198,0.042548871,0.89320488
Pla1a,1356.898026,0.091925898,0.862995578
Mcm2,166.0682966,-0.122688111,0.749926819
Tpra1,740.4975164,-0.00780488,0.969606552
Nab1,1267.942326,-0.10374999,0.455961037
Adgre5,2352.485851,-0.222972424,0.046705815
Il17ra,611.5439578,-0.004496005,0.996140742
Lamb1,6646.68684,-0.261674095,0.103507877
Kcnn1,178.7954683,0.137693161,0.731361544
Arrdc2,406.1878085,0.494659745,0.138234583
Cd36,53613.27974,-0.116721397,0.574928804
Map2k7,1615.656481,0.113897046,0.272489393
Timm44,985.5702482,0.070004002,0.645687464
Ap2a2,5184.966641,-0.046853225,0.806355959
Pnkp,616.62049,0.0420483,0.761191956
Med25,2556.789772,0.159366516,0.24131004
Bcam,1503.519046,0.064109967,0.906152272
Clptm1,3635.825352,0.179548939,0.24888258
Relb,491.3315863,0.074385767,0.692981119
Tomm40,1082.983106,0.049241936,0.7628637
Apoe,81693.5789,-0.3409884,0.110725943
Apoc2,35.47405871,-0.164745408,0.81715847
Hbp1,2950.74303,0.092939349,0.413655639
Prkar2b,13184.2229,-0.071830691,0.827447267
Cdkn1b,1162.520885,0.113907349,0.519025277
Klf4,2546.129055,0.561432987,0.033532967
Ap1m1,956.8542814,0.042249995,0.774377467
Rab8a,1219.297758,-0.138627818,0.405844421
Hmgn2,1726.05025,-0.236043032,0.130133912
Fam32a,1212.024526,-0.116781778,0.272379014
Elf3,1.162062316,0.95482057,
Stard3nl,377.8938577,-0.0661358819999999,0.768169552
Stk11,2573.138798,0.050204656,0.687744993
Efna2,118.9593918,-0.230337099,0.437668301
Atp5d,5673.174971,0.144301891,0.601752266
Ppp5c,1080.252354,-0.029030911,0.848403184
Cdk12,932.7154275,-0.06191903,0.721282956
Lipe,62259.76439,0.050498819,0.866947909
Pafah1b2,1602.895817,-0.086324361,0.674281022
Tbc1d8,231.7135965,0.347723264,0.074315081
Cnot11,575.0629375,0.210593877,0.049969057
Slc2a3,552.4419176,-0.432240448,0.252253981
Foxj2,1075.521998,0.145177561,0.205734171
Sri,1717.77256,-0.286339861,0.001689972
Dgcr2,2331.419893,-0.124855565,0.325262796
Irf3,1202.563413,-0.065371201,0.625919996
Bcl2l12,394.6888775,-0.119977689,0.500434554
Zfp959,77.39196412,0.088175572,0.72869069
Mpnd,1214.410722,-0.105222573,0.484681849
Sh3gl1,920.1995039,-0.122837272,0.584944549
Ebi3,57.30345019,-0.31098613,0.347718979
Yju2,167.7927478,-0.094904357,0.674706306
Ranbp2,2864.890137,-0.001806997,0.994436981
Edar,1.540712582,1.913206433,
Grk5,861.7409675,-0.052582424,0.772092888
Dvl3,918.9976717,0.295676043,0.006825362
Abcf3,1137.870128,0.096360951,0.210315185
Eif2b5,1167.953315,0.132939796,0.281312889
Cyth2,919.1544265,0.156696052,0.252454534
Sult2b1,28.98798806,-0.006807505,0.999283571
Car11,117.0300547,0.367552033,0.210315185
Dlgap1,14.96903663,0.937369021,
Plag1,34.28917202,-0.069069865,0.912380992
Hck,56.77861889,-0.045801049,0.936627526
Mrpl4,1354.555542,0.097812895,0.457250672
Keap1,1405.715385,0.129861065,0.296756252
Ap1m2,19.65497046,-0.840108872,0.826931914
Glg1,3148.231523,-0.061497445,0.634093538
Atp8b3,0.633795794,-0.774575414,
Btbd2,1350.402662,-0.030303404,0.841940585
Csnk1g2,3080.883119,-0.005268447,0.969894917
Abhd17a,1702.947342,0.12575882,0.420334284
Mob3a,762.6065843,-0.134407835,0.596263432
Cacnb3,121.7122345,-0.001678147,0.999283571
Ccdc65,2.608115175,0.114123676,
Fkbp11,49.44724417,-0.36527954,0.361619058
Ddx23,1262.186494,0.039703473,0.85098584
Pld3,1516.379377,-0.131686631,0.552031796
Grik5,317.5622909,0.097306687,0.714955227
Cd79a,40.75005743,0.763567106,0.545143139
Rabac1,3138.137816,0.097931898,0.475151724
Etv3,1205.689526,-0.031560849,0.899228539
Prkcsh,1634.994904,-0.103958115,0.435570716
Elavl3,12.10656277,0.106824557,
Rab3b,11.37782118,0.186648286,
St8sia6,72.62244969,-0.253975433,0.631744224
Fcgrt,8391.939874,-0.106519402,0.652907887
Nosip,847.1260661,-0.013237556,0.938139717
Pih1d1,644.2211474,-0.022906113,0.896132476
Rps11,5388.908867,-0.058857298,0.674281022
Supt5,2263.501714,-0.053434258,0.653896851
Dll3,0.549933029,1.166375605,
Paf1,1367.561621,-0.148279745,0.140950586
Timm50,1407.524878,0.14089331,0.526584956
Med29,348.7257083,0.052260252,0.78318249
Bicd1,41.24140986,0.451772343,0.500434554
Ncstn,2444.068719,-0.064665572,0.653896851
Pex19,5519.086068,0.03742886,0.877698873
Phyhip,19.97274081,-1.060273667,0.574928804
Crhr2,123.3087268,2.947608102,0.053841407
Inmt,2695.89822,0.329915967,0.443994087
Cyp4f18,108.0094662,0.110614666,0.808253626
Impdh1,932.3944143,-0.284199387,0.083580878
Dusp3,3569.812212,-0.018269985,0.938497314
Prodh,2169.577462,-0.320276384,0.359892638
